X,Y,GEOID10,TRACTID,GISJN_TCT,coord_query
-84.4526837198893,33.604712743662915,13063040203,13063040203,G13063040203,"G13063040203.csv, 33.6047127436629, -84.4526837198893"
-84.41592610409062,33.60054766880884,13063040520,13063040520,G13063040520,"G13063040520.csv, 33.6005476688088, -84.4159261040906"
-84.41880313583462,33.591872226029125,13063040519,13063040519,G13063040519,"G13063040519.csv, 33.5918722260291, -84.4188031358346"
-84.40831237539315,33.5583523589956,13063040523,13063040523,G13063040523,"G13063040523.csv, 33.5583523589956, -84.4083123753932"
-84.40087150416431,33.58516939916984,13063040522,13063040522,G13063040522,"G13063040522.csv, 33.5851693991698, -84.4008715041643"
-84.34964172268957,33.459030522501514,13063040621,13063040621,G13063040621,"G13063040621.csv, 33.4590305225015, -84.3496417226896"
-84.37871497382022,33.50498428641511,13063040619,13063040619,G13063040619,"G13063040619.csv, 33.5049842864151, -84.3787149738202"
-84.38272479439321,33.625720306681174,13063040308,13063040308,G13063040308,"G13063040308.csv, 33.6257203066812, -84.3827247943932"
-84.36889826336039,33.4875933961374,13063040620,13063040620,G13063040620,"G13063040620.csv, 33.4875933961374, -84.3688982633604"
-84.37283305332414,33.58456329366938,13063040414,13063040414,G13063040414,"G13063040414.csv, 33.5845632936694, -84.3728330533241"
-84.44128675058073,33.605267460842,13063040204,13063040204,G13063040204,"G13063040204.csv, 33.605267460842, -84.4412867505807"
-84.39054656211312,33.56976308543499,13063040521,13063040521,G13063040521,"G13063040521.csv, 33.569763085435, -84.3905465621131"
-84.37890514944597,33.57191336146376,13063040415,13063040415,G13063040415,"G13063040415.csv, 33.5719133614638, -84.378905149446"
-84.2665809472752,33.558114741239876,13063040617,13063040617,G13063040617,"G13063040617.csv, 33.5581147412399, -84.2665809472752"
-84.30494894090481,33.54360686871349,13063040615,13063040615,G13063040615,"G13063040615.csv, 33.5436068687135, -84.3049489409048"
-84.38767890107422,33.530919429538756,13063040516,13063040516,G13063040516,"G13063040516.csv, 33.5309194295388, -84.3876789010742"
-84.44667983818383,33.58188524445606,13063040509,13063040509,G13063040509,"G13063040509.csv, 33.5818852444561, -84.4466798381838"
-84.35444851404917,33.5795180551791,13063040416,13063040416,G13063040416,"G13063040416.csv, 33.5795180551791, -84.3544485140492"
-84.38520613531267,33.60489367136705,13063040306,13063040306,G13063040306,"G13063040306.csv, 33.6048936713671, -84.3852061353127"
-84.40120883963215,33.50274760576674,13063040525,13063040525,G13063040525,"G13063040525.csv, 33.5027476057667, -84.4012088396321"
-84.39180447713963,33.55198749774925,13063040524,13063040524,G13063040524,"G13063040524.csv, 33.5519874977493, -84.3918044771396"
-84.29289427711325,33.560096064158806,13063040616,13063040616,G13063040616,"G13063040616.csv, 33.5600960641588, -84.2928942771132"
-84.41383942105348,33.5069929763428,13063040526,13063040526,G13063040526,"G13063040526.csv, 33.5069929763428, -84.4138394210535"
-84.138363800070465,33.46749548787102,13151070307,13151070307,G13151070307,"G13151070307.csv, 33.467495487871, -84.1383638000705"
-84.22467207556535,33.54850331148958,13151070113,13151070113,G13151070113,"G13151070113.csv, 33.5485033114896, -84.2246720755654"
-84.08409740991357,33.368852632930775,13151070403,13151070403,G13151070403,"G13151070403.csv, 33.3688526329308, -84.0840974099136"
-84.4073191043743,33.53109028515033,13063040515,13063040515,G13063040515,"G13063040515.csv, 33.5310902851503, -84.4073191043743"
-84.43821419200289,33.55853635458045,13063040513,13063040513,G13063040513,"G13063040513.csv, 33.5585363545804, -84.4382141920029"
-84.41287998496902,33.61362862875722,13063040202,13063040202,G13063040202,"G13063040202.csv, 33.6136286287572, -84.412879984969"
-84.39118210512753,33.509518364814944,13063040518,13063040518,G13063040518,"G13063040518.csv, 33.5095183648149, -84.3911821051275"
-84.16484138931482,33.510197347817545,13151070205,13151070205,G13151070205,"G13151070205.csv, 33.5101973478175, -84.1648413893148"
-84.1986070114577,33.49665840460768,13151070309,13151070309,G13151070309,"G13151070309.csv, 33.4966584046077, -84.1986070114577"
-84.15447895323149,33.553430351932164,13151070204,13151070204,G13151070204,"G13151070204.csv, 33.5534303519322, -84.1544789532315"
